country,ns,gcs,unfavorable,favorable,lpm,region,sub_region
Andorra,3.2505307855626326,3.0882647943831496,NA,NA,12.942470717660003,Europe,Southern Europe
Argentina,3.366632337796086,2.955882352941176,41,40,5.133222955764208,Americas,Latin America and the Caribbean
Azerbaijan,3.5989999999999998,2.02,NA,NA,1.9725470760688126,Asia,Western Asia
Bolivia,NA,NA,29,53,0,Americas,Latin America and the Caribbean
Brazil,3.005045408678103,3.1403688524590168,23,73,4.911568040725969,Americas,Latin America and the Caribbean
Bulgaria,3.1365149833518315,2.205211726384365,NA,NA,8.778942626731594,Europe,Eastern Europe
Burkina Faso,3.8000000000000003,3.2551574375678607,NA,NA,0,Africa,Sub-Saharan Africa
Chile,3.4228052472250243,2.7600422832980978,24,68,7.1666929358221605,Americas,Latin America and the Caribbean
China,3.132118451025057,2.8184281842818426,53,40,5.520648059551888,Asia,Eastern Asia
Colombia,3.7695390781563125,3.288032454361055,NA,NA,2.1225211998596625,Americas,Latin America and the Caribbean
Cyprus,3.3694068678459934,2.9339723109691165,NA,NA,35.6148658106399,Asia,Western Asia
Czech Republic,NA,NA,33,58,15.220867865871845,Europe,Eastern Europe
Ecuador,3.8857715430861726,3.503012048192771,NA,NA,7.4816953521668,Americas,Latin America and the Caribbean
Egypt,3.596,1.9459459459459458,81,16,2.5797775944420174,Africa,Northern Africa
El Salvador,NA,NA,17,79,4.316856662320517,Americas,Latin America and the Caribbean
Estonia,2.8329918032786887,2.6892177589852,NA,NA,7.538413872490745,Europe,Northern Europe
Ethiopia,3.6352705410821646,3.313846153846154,NA,NA,0,Africa,Sub-Saharan Africa
Finland,3.488348530901723,2.6864754098360653,NA,NA,11.3703675227651,Europe,Northern Europe
France,3.128258602711157,NA,36,64,25.15568642912917,Europe,Western Europe
Georgia,3.71013039117352,2.2277834525025533,NA,NA,4.010854374651401,Asia,Western Asia
Germany,2.9683972911963883,2.6597510373443978,40,53,18.9057700732521,Europe,Western Europe
